Razao Social,Nome Fantasia,Logradouro,numero,Bairro,Municipio,cep,UF
DUO R ENGENHARIA LTDA,DUO R ENGENHARIA LTDA,CARDOSO RIBEIRO,290,CENTRO,OURINHOS,19900100,SP
DUOMAG FUNDIDOS ESPECIAIS S/A,,ESPIRITO SANTO,762,CHACARA DO SOLARI,SANTANA DE PARNAIBA,06530015,SP
DUOMO TECNOFORMA ESTAMPAGEM E CONFORMACAO LTDA,DUOMO CONFORMA,TOQUIO,500,CENTRO INDUSTRIAL DE ARUJA,ARUJA,07411730,SP
DUOSYSTEM TECNOLOGIA & INFORMATICA LTDA,DUOSYSTEM,FRANCISCO TRAMONTANO,101,REAL PARQUE,SAO PAULO,05686010,SP
"DUPATRI HOSPITALAR COMERCIO, IMPORTACAO E EXPORTACAO LTDA.",DUPATRI HOSPITALAR,SAO PAULO,31,VILA BELMIRO,SANTOS,11075330,SP
DUPLAS - INDUSTRIA DE PECAS PLASTICAS EIRELI,DUPLAS-INDUSTRIA DE PECAS PLASTICAS,LUIZ DIAS GONZAGA,1595,VOLTA GRANDE,PIRACICABA,13404970,SP
DURA AUTOMOTIVE SYSTEMS DO BRASIL LTDA,,DOM PEDRO I,743,CENTRO,RIO GRANDE DA SERRA,09450000,SP
DURAFACE INDUSTRIA E COMERCIO LTDA,,OTTO BARRETO,1355,DISTRITO INDUSTRIAL III,ARARAS,13602060,SP
DURAFERRO INDUSTRIA E COMERCIO LTDA,,SANTA ANA,S/N,NUCLEO ARARUNA,ARARAS,13600970,SP
DURATEX S.A.,,PAULISTA,1938,BELA VISTA,SAO PAULO,01310942,SP
DURR BRASIL LTDA,DURR,ARNALDO MAGNICCARO,500,JURUBATUBA,SAO PAULO,04691060,SP
DUTOPLAST DO BRASIL INDUSTRIA DE PLASTICOS LTDA,,SAO TEODORO,862,VILA CARMOSINA,SAO PAULO,08290000,SP
DUTRA MAQUINAS COMERCIAL E TECNICA LTDA,,SERAFIM GONC PEREIRA,340,PRQ NOVO MUNDO,SAO PAULO,02179000,SP
DUTRA MG VEICULOS E PECAS LTDA,,JOAQUINA RAMALHO,790,VILA GUILHERME,SAO PAULO,02065000,SP
DUTRA TRANSPORTES LTDA,DUTRA TRANSPORTES,PAPA JOAO PAULO I,6230,VILA AEROPORTO,GUARULHOS,07170350,SP
DV EMPREITEIRA CONSTRUCOES EIRELI,DV EMPREITEIRA,CONSELHEIRO SARAIVA,1020,VILA TIBERIO,RIBEIRAO PRETO,14050410,SP
DV3 SOLUCOES LOGISTICAS LTDA,DV3 SOLUCOES LOGISTICAS,GENERAL AUGUSTO SOARES DOS SANTOS,683,PARQUE INDUSTRIAL LAGOINHA,RIBEIRAO PRETO,14095240,SP
DVS EQUIPAMENTOS DE PROTECAO INDIVIDUAL LTDA,,SAO DOMINGOS DO PRATA,200,VILA BARROS,GUARULHOS,07193160,SP
DX RECUPERACAO DE CREDITO E ATIVOS LTDA,BARDAN COBRANCAS,CARNEIRO DE SOUZA,66,CENTRO,TAUBATE,12010070,SP
DYNA INDUSTRIA E COMERCIO LTDA.,,BARAO DO RIO BRANCO,208,VILA CAVADAS,GUARULHOS,07042010,SP
DYNALF INDUSTRIA DE COMPONENTES ELETRONICOS LTDA,,MANOEL DA COSTA,13,FREGUESIA DO,SAO PAULO,02928010,SP
"DYNAMYKHA SERVICOS GERAIS DA CONSTRUCAO, ADMINISTRACAO E COMERCIO LTDA",,JOSE ADORNO,600,VILA MESQUITA,SAO PAULO,03714020,SP
DYNAPAC DO BRASIL INDUSTRIA E COMERCIO DE MAQUINAS LTDA,,GEORG SCHAEFFLER,430,IPORANGA,SOROCABA,18087175,SP
DYNAPLAST INDUSTRIAL LTDA. EM RECUPERCAO JUDICIAL,,BRASILIA,461,JARDINS D'ICARAI,SALTO,13327100,SP
DYNATECH INDUSTRIAS QUIMICAS LTDA,DYNATECH,LINO PEIXOTO AMORIM,1251,PAINEIRAS,ITUPEVA,13295000,SP
DYNATEST ENGENHARIA LTDA,DYNATEST DO BRASIL,PEIXOTO GOMIDE,996,CERQUEIRA CESAR,SAO PAULO,01409900,SP
E & P ELABORACAO DE DOCUMENTOS EIRELI,,ATLANTICA,74/80,JARDIM DO MAR,SAO BERNARDO DO CAMPO,09750480,SP
E C K SERVICOS GERAIS EIRELI,,BENEDITA GUERRA ZENDRON,276,VILA SAO JOAO,BARUERI,06401190,SP
E C R CONSULTORIA LTDA,POLIS ENGENHARIA,JUSTINO COBRA,159,VILA EMA,SAO JOSE DOS CAMPOS,12243030,SP
E DE B COSTA EIRELI,L.P.,NELSON TARTUCE,351,ARTUR ALVIM,SAO PAULO,03694070,SP
E E C ENGENHARIA E CONSTRUCOES LTDA,,JEQUITAI,51,INDIANOPOLIS,SAO PAULO,04083020,SP
E-CONSTRUMARKET TECNOLOGIA E SERVICOS S.A.,E - CONSTRUMARKET,ATILIO PIFFER,571,CASA VERDE,SAO PAULO,02516000,SP
E-LOG CARGO TRANSPORTES E LOGISTICA EIRELI,E-LOG,FRANCISCO ALVES,237,VILA ROMANA,SAO PAULO,05051040,SP
E-VINO COMERCIO DE VINHOS S.A.,E-VINO,BELA CINTRA 986,986,CONSOLACAO,SAO PAULO,01415906,SP
E.A. MONTAGENS EIRELI,,JOSE SERRANTE,52,SAO JOSE,JOSE BONIFACIO,15200000,SP
E.A.R. CONSTRUCOES E INSTALACOES LTDA,ELO CONSTRUCOES E INSTALACOES,BATISTA DE CARVALHO,10-69,CENTRO,BAURU,17010000,SP
"E.F.A CONSTRUCOES,SERVICOS TERCEIRIZADOS E EMPREITEIRA DE MAO DE OBRA EIRELI",GRUPO E.F.A EMPREITEIRA DE MAO DE OBRA,MONGAGUA,141,SITIO PAECARA (VICENTE DE CARVALHO),GUARUJA,11451290,SP
E.J. DE ARAUJO EMPREITEIRA DE CONSTRUCAO CIVIL,MOVMAQ LOCACAO MAQUINAS,SEBASTIAO GALLO,302,PARQUE DOM PEDRO II,AMERICANA,13476624,SP
E.L.M - DISTRIBUIDORA DE MATERIAL ELETRICO EIRELI,,SAO BENTO,1.295,SAO BENTO,ARUJA,07440400,SP
E.LIFE MONITOR ESTUDOS DE MERCADO LTDA,,PAMPLONA,518,JARDIM PAULISTA,SAO PAULO,01405000,SP
E.RUSSI ACESSORIOS EIRELI,,GOMES NOGUEIRA,299,IPIRANGA,SAO PAULO,04265010,SP
E.S. CONSTRUTORA LTDA,,JOSE TOTORA,955,CENTRAL PARQUE SOROCABA,SOROCABA,18051005,SP
E.S.P. AGROPECUARIA LTDA,,SANTA INES,S/N,SANTA INES,ESPIRITO SANTO DO PINHAL,13990000,SP
E.SERVICE COMERCIO E SERVICOS EIRELI,,PARA,68,CIDADE INTERCAP,TABOAO DA SERRA,06757120,SP
E.Z.L.I. EMPREENDIMENTO IMOBILIARIO LTDA,,REPUBLICA DO LIBANO,1921,IBIRAPUERA,SAO PAULO,04501002,SP
E&D MARTINS COSTA ENGENHARIA E CONSTRUCOES EIRELI,E & D MARTINS COSTA ENGENHARIA E CONSTRUCAO LTDA,GUARARA,489,LAGO AZUL ALTO,FRANCO DA ROCHA,07866300,SP
E2MPD PR COMUNICACOES LTDA.,,PAULISTA,2006,CONSOLACAO,SAO PAULO,01310926,SP
EACIAL EQUIP E ACESSORIOS INDUSTRIAIS E AGRIC LTDA,,ANTONIO BORJA MEDINA,808,UNILESTE,PIRACICABA,13422010,SP
EADI-SANTO ANDRE - TERMINAL DE CARGAS LTDA,,DOS ESTADOS,4530,UTINGA,SANTO ANDRE,09220570,SP
EAGLE - SEGURANCA LTDA,EAGLE SEGURANCA,JOSE NABANTINO RAMOS,85,JD UMUARAMA,SAO PAULO,04649140,SP
EAGLE SERVICOS EMPRESARIAIS EIRELI,EAGLE SERVICOS EMPRESARIAIS,OSMAN FONSECA,57,JARDIM LUANDA,SAO PAULO,04678030,SP
EAGLE TERCEIRIZACAO EMPRESARIAL LTDA,EAGLE SERVICOS TERCEIRIZADOS,OSMAN FONSECA,65,JD. LUANDA,SAO PAULO,04678030,SP
EAGLEBURGMANN DO BRASIL VEDACOES INDUSTRIAIS LTDA,,SANTA ISABEL,1721,VILA SANTA ISABEL,CAMPINAS,13084643,SP
EASY GERENCIAMENTO E CONSTRUCAO LTDA.,EASY,HOLLYWOOD,183,CIDADE MONCOES,SAO PAULO,04564040,SP
EASY SERVICE SERVICOS GERAIS EIRELI,EASY SERVICE,DAS GARDENIAS,84,CONDOMINIO CENTRO COMERCIAL ALPHAVILLE,BARUERI,06453052,SP
EASY TAXI SERVICOS LTDA.,EASY,HUNGRIA,1240,JARDIM EUROPA,SAO PAULO,01455000,SP
EASY-WAY DO BRASIL CONSULTORIA E INFORMATICA LTDA,,DOUTOR CHUCRI ZAIDAN,940,VILA CORDEIRO,SAO PAULO,04583906,SP
EASYNVEST - TITULO CORRETORA DE VALORES SA,EASYNVEST,DOUTOR CARDOSO DE MELO,1608,VILA OLIMPIA,SAO PAULO,04548005,SP
EATALY BRASIL COMERCIO E DISTRIBUICAO DE ALIMENTOS LTDA,,PRESIDENTE JUSCELINO KUBITSCHEK,1489,VILA NOVA CONCEICAO,SAO PAULO,04543011,SP
EATON LTDA,ESCRITORIO CENTRAL,CLARK,2.061,MACUCO,VALINHOS,13279400,SP
EBARA BOMBAS AMERICA DO SUL LTDA,,JOAQUIM M DE FIGUEIREDO,231,DISTRITO INDUSTRIAL,BAURU,17034290,SP
EBAZAR.COM.BR. LTDA,EBAZAR.COM.BR,DAS NACOES UNIDAS 3000,3003,BONFIM,OSASCO,06233903,SP
EBCO SYSTEMS LIMITADA,EBCO SYSTEMS LIMITADA,BANDEIRA PAULISTA,716,ITAIM BIBI,SAO PAULO,04532002,SP
EBERSPAECHER TECNOLOGIA DE EXAUSTAO LTDA.,EBERSPAECHER,AURELIANO CESAR DO NASCIMENTO,355,IPORANGA,SOROCABA,18087115,SP
EBF INDUSTRIA E COMERCIO DE ARTEFATOS PLASTICOS LTDA - EM RECUPERACAO JUDICIAL EM RECUPERACAO JUDICIAL,,ENGENHEIRO ERMENIO OLIVEIRA PENTEADO,SN,ITAICI,INDAIATUBA,13347600,SP
ECCOS INDUSTRIA METALURGICA LTDA,,EDUARDO BORSARI,1325,D.IND.DOMINGOS GIOMI,INDAIATUBA,13330900,SP
ECD CONSTRUCOES EIRELI,ECD,CIPRIANO BARATA,1600,IPIRANGA,SAO PAULO,04205001,SP
ECG ENGENHARIA CONSTRUCOES E GEOTECNIA LTDA,,SANTA INES,1165,PARQUE MANDAQUI,SAO PAULO,02415001,SP
ECIL INFORMATICA INDUSTRIA E COMERCIO LTDA.,,RAIMUNDO ANTUNES SOARES,1315,PAULAS E MENDES,PIEDADE,18170000,SP
ECIL MET TEC LTDA,ECIL MET TEC,BENJAMIN DA SILVEIRA BALDY,2001,PAULAS E MENDES,PIEDADE,18170000,SP
ECIL PRODUTOS E SISTEMAS DE MEDICAO E CONTROLE LTDA,ECIL,RAIMUNDO ANTUNES SOARES,1315,PAULAS E MENDES,PIEDADE,18170000,SP
ECLETICA AGRICOLA IMPORTACAO E EXPORTACAO LTDA,BERTANHA,COMENDADOR JUSTINO DIAS DE MORAIS,1453,DISTRITO INDUSTRIAL,BATATAIS,14300001,SP
ECMI MONTAGENS INDUSTRIAIS EIRELI,,ALBERTINO DE CASTRO PRESTES,58,CENTRO,ARACARIGUAMA,18147970,SP
ECO & SAPORE FORNECIMENTO DE ALIMENTOS EIRELI,ECO & SAPORE REFEICOES,PAULISTA,2064,BELA VISTA,SAO PAULO,01310200,SP
ECO FOREST TRANSPORTE E LOGISTICA LTDA,,SP-340 (ADEMAR DE BARROS),S/N,JARDIM GUACU-MIRIM I,MOGI-GUACU,13844502,SP
ECO FRESH INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,,ARAGUACEMA,78,TAMBORE,BARUERI,06460070,SP
ECO INDUSTRIA E COMERCIO DE ARTEFATOS ESTAMPADOS DE METAIS LTDA,,TOMASINA,81,JARDIM JABAQUARA,SAO PAULO,04384120,SP
ECO-ITA - ENOB CONCESSOES ITAPEVI LTDA.,,MAZITO,1856,JARDIM SOROCABANA,ITAPEVI,06695320,SP
ECO-PRIMOS COMERCIO DE RESIDUOS LTDA.,,SP 191 KM. 63,S/N,ZONA RURAL,RIO CLARO,13500970,SP
ECOAGRICOLA INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA,,JOAO GUSMIN,1540,DISTRITO INDUSTRIAL II,ARARAS,13602040,SP
ECOFABRIL INDUSTRIA E COMERCIO LTDA,,ANTONIETA PIVA BARRANQUEIROS,1000,CASA BRANCA,JUNDIAI,13212000,SP
ECOGEN BRASIL SOLUCOES ENERGETICAS S.A.,,DAS NACOES UNIDAS,14171,BROOKLIN NOVO,SAO PAULO,04794000,SP
ECOLAB QUIMICA LTDA,,GUPE,10.933,SITIO GUPE - DISTRITO DE JARDIM BELVAL,BARUERI,06422120,SP
ECOLABOR COMERCIAL CONSULTORIA E ANALISES LTDA,,TIMBURI (JD ADELAIDE),96,PANORAMA (POLVILHO),CAJAMAR,07792725,SP
ECOLE SERVICOS MEDICOS LTDA.,A.M.R.-ASSISTENCIA MEDICA REGIONAL,BRIGADEIRO GAVIAO PEIXOTO,587,LAPA,SAO PAULO,05078000,SP
ECOMASTER INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA.,ECOMASTER,PRESIDENTE TANCREDO DE ALMEIDA NEVES,S/N,PARQUE SANTA DELFA,FRANCO DA ROCHA,07809105,SP
ECON CONSTRUTORA E INCORPORADORA LTDA.,,FIDENCIO RAMOS,213,VILA OLIMPIA,SAO PAULO,04551010,SP
ECONOCOM BRASIL S.A.,,SAGITARIO,138,ALPHAVILLE CONDE II,BARUERI,06473073,SP
ECOOSASCO AMBIENTAL S/A,,MANOEL ANTONIO PORTELA,270,PRESIDENTE ALTINO,OSASCO,06210080,SP
ECOPATIO LOGISTICA CUBATAO LTDA,,CONEGO DOMENICO RANGONI,S/N,PARQUE INDUSTRIAL,CUBATAO,11573000,SP
"ECOPOLO GESTAO DE AGUAS, RESIDUOS E ENERGIA LTDA",ECOPOLO AMBIENTAL,MIGUEL FRIAS E VASCONCELOS,1215,JAGUARE,SAO PAULO,05345000,SP
ECOPORTO SANTOS S.A.,ECOPORTO SANTOS,ENGENHEIRO ANTONIO ALVES FREIRE,S/N,SABOO,SANTOS,11010230,SP
ECOPORTO TRANSPORTE LTDA,ECOPORTO TRANSPORTE,AUGUSTO SEVERO,13,CENTRO,SANTOS,11010050,SP
ECORODOVIAS CONCESSOES E SERVICOS S/A,,DOS IMIGRANTES,S/N,ALVARENGA,SAO BERNARDO DO CAMPO,09845000,SP
ECOSAFETY ENGENHARIA DE INCENDIO LTDA.,ECO SAFETY,DOM PEDRO I,919,CONCEICAO,DIADEMA,09991000,SP
ECOSERV PRESTACAO DE SERVICOS DE MAO DE OBRA LTDA,,GRAJAU,60,ALPHAVILLE,BARUERI,06454050,SP
ECOTAUBATE AMBIENTAL S/A,,PADRE JOSE RUBENS BONAFE,653,PARQUE BANDEIRANTES,TAUBATE,12051250,SP
ECOTEMP RECURSOS HUMANOS LTDA,,SAO CAETANO,631,SANTA PAULA,SAO CAETANO DO SUL,09560050,SP
ECOTERRA SERVICOS DE LIMPEZA LTDA,,ARMANDO LONGATTI (JARDIM SAO VICENTE),126,VILA INDUSTRIAL,PIRACICABA,13412425,SP
ECOVITA INCORPORADORA E CONSTRUTORA LTDA,,GETULIO VARGAS QUADRA,18-46,PARQUE JARDIM EUROPA,BAURU,17017383,SP
ECUS INJECAO EIRELI,,YONEJI NAKAMURA,940,TABOAO,MOGI DAS CRUZES,08772011,SP
EDAG DO BRASIL LTDA,,DO TABOAO,1195,TABOAO,SAO BERNARDO DO CAMPO,09655000,SP
EDALCO ENGENHARIA LTDA,,SANTOS,200,CERQUEIRA CESAR,SAO PAULO,01418000,SP
EDB-ENGENHARIA DO BRASIL LTDA,EDB,DESEMBARGADOR ELISEU GUILHERME,53,PARAISO,SAO PAULO,04004030,SP
EDC NET LTDA,EDC CENTRAL DE NEGOCIOS,DOS JORNALISTAS,198,CIDADES VARGAS,SAO PAULO,04318000,SP
EDCAS COMERCIO E ALIMENTOS JDI EIRELI,,ANTONIO F OZANAN,6000,VILA RIO BRANCO,JUNDIAI,13212390,SP
EDDF INDUSTRIA E COMERCIO DE ARTEFATOS DE METAIS LTDA,,ROMEU BONAFE,74,VL MONTE SION,SUZANO,08613130,SP
EDELMAN DO BRASIL CONSULTORIA E COMUNICACAO LTDA,,DOS PINHEIROS,610,PINHEIROS,SAO PAULO,05422001,SP
EDEN COMERCIO ELETRONICO DO BRASIL LTDA,,REBOUCAS,3506,PINHEIROS,SAO PAULO,05402600,SP
EDENILTON JOSE CRIVELLARI & CIA LTDA,REDE SOMAR LOJA 1,DA FONTE,103,CENTRO,CAPELA DO ALTO,18195000,SP
EDENRED SOLUCOES DE PAGAMENTOS HYLA S.A.,,TOCANTINS,350,ALPHAVILLE CENTRO INDUSTRIAL E EMPRESARIAL/ALPHAVI,BARUERI,06455020,SP
EDEX COMERCIO E SERVICOS TEMPORARIOS E TERCEIRIZADOS EIRELI,,MARECHAL DEODORO,1649,CENTRO,SAO BERNARDO DO CAMPO,09710190,SP
EDEX CONFECCOES EIRELI,,ARMANDO SALLES DE OLIVEIRA,485,JARDIM IPIRANGA,AMERICANA,13468570,SP
EDG EQUIPAMENTOS E CONTROLES LTDA,EQUIPAMENTOS EDG,EDUARDO GOBATO,300,CEAT,SAO CARLOS,13573440,SP
EDICOES GLOBO CONDE NAST S.A.,,NOVE DE JULHO 5229,5.229,JARDIM PAULISTA,SAO PAULO,01407907,SP
EDICOES SM LTDA.,SM EDUCACAO,TENENTE LYCURGO LOPES DA CRUZ,55,AGUA BRANCA,SAO PAULO,05036120,SP
EDIFRIGO COMERCIAL E INDUSTRIAL LTDA,EDIFRIGO,BARAO DO BANANAL,695,JARDIM ANHANGUERA,RIBEIRAO PRETO,14092000,SP
EDILIZIA PARTICIPACOES LTDA,,EXPEDICIONARIOS,2238,VILA ZILDA,SAO JOSE DO RIO PRETO,15025030,SP
EDILTON SERVICOS E CONSTRUCOES EIRELI,,DOS CHANES,552,INDIANOPOLIS,SAO PAULO,04087032,SP
EDINEL ENGENHARIA E COMERCIO LTDA,,BRIG LUIS ANTONIO,4236,JARDIM PAULISTA,SAO PAULO,01402002,SP
EDIT BRASIL COMERCIO DE LIVROS LTDA,,MINORU YOSINO,131,NOVO JARDIM STABILE,BIRIGUI,16204052,SP
EDITORA ALTO ASTRAL LTDA,ALTO ASTRAL,GUSTAVO MACIEL,19-26,ALTOS DA CIDADE,BAURU,17012110,SP
EDITORA ATICA S.A.,,DAS NACOES UNIDAS 7221,7221,PINHEIROS,SAO PAULO,05425902,SP
EDITORA ATLAS LTDA,ATLAS,CONS NEBIAS,1384,CAMPOS ELISEOS,SAO PAULO,01203002,SP
EDITORA CERED CENTRO DE RECURSOS EDUCACIONAIS LIMITADA,CERED CENTRO DE RECURSOS EDUCACIONAIS,PAULISTA,900,BELA VISTA,SAO PAULO,01310100,SP
EDITORA CNA CULTURAL NORTE AMERICANO S/A,,CORONEL OSCAR PORTO,800,PARAISO,SAO PAULO,04003004,SP
EDITORA DIARIO - CORREIO DE MARILIA LTDA,EDITORA DIARIO - CORREIO DE MARLIA LTDA,CORONEL GALDINO DE ALMEIDA,55,CENTRO,MARILIA,17500100,SP
EDITORA DO BRASIL SA,EBSA,CONS NEBIAS,887,CAMPOS ELISEOS,SAO PAULO,01203001,SP
EDITORA EUROPA LTDA,EUROBEST.,M M D C,121,BUTANTA,SAO PAULO,05510021,SP
EDITORA FOLHA DA REGIAO DE ARACATUBA LTDA,FOLHA DA REGIAO,JOAQUIM FERNANDES,445,JARDIM NOVA IORQUE,ARACATUBA,16018280,SP
EDITORA FONTANA LTDA,EDITORA FONTANA,MUNICIPAL (JAR-363) CIPRIANO PEROBELLI,3751,MARACANA,JARINU,13240000,SP
EDITORA FTD S A,FTD EDUCACAO,RUI BARBOSA,156,BELA VISTA,SAO PAULO,01326010,SP
EDITORA IMPRENSA LTDA,O IMPARCIAL,ERNESTO ROTTA,83,NOVO BONGIOVANI,PRESIDENTE PRUDENTE,19026710,SP
EDITORA MANOLE LIMITADA,,CECI,672,TAMBORE,BARUERI,06460120,SP
EDITORA MEIO E MENSAGEM LIMITADA,,CATEQUESE,227,BUTANTA,SAO PAULO,05502020,SP
EDITORA MODERNA LTDA,EDITORA MODERNA,PADRE ADELINO,758,BELENZINHO,SAO PAULO,03303000,SP
EDITORA MUNDO DOS LIVROS LTDA,,DOUTOR LUIZ DE TOLEDO PIZA SOBRINHO,298,RESIDENCIAL ALVORADA,BIRIGUI,16204153,SP
EDITORA PESQUISA E INDUSTRIA LTDA.,,MARTINS FONTES,230,CONSOLACAO,SAO PAULO,01050000,SP
EDITORA PINI LTDA.,,DOM JOSE DE BARROS,152,REPUBLICA,SAO PAULO,01038000,SP
EDITORA PLANETA DO BRASIL LTDA.,,BELA CINTRA,986,CONSOLACAO,SAO PAULO,01415002,SP
EDITORA POLIEDRO LTDA,POLIEDRO,DOUTOR NELSON D'AVILA,811,JARDIM SAO DIMAS,SAO JOSE DOS CAMPOS,12245030,SP
EDITORA REFERENCIA LTDA,REFERENCIA,FRANCOIS COTY,228,CAMBUCI,SAO PAULO,01524030,SP
EDITORA REVISTA DOS TRIBUNAIS LTDA,,DO BOSQUE,820,BARRA FUNDA,SAO PAULO,01136000,SP
EDITORA SCHWARCZ S.A.,,BANDEIRA PAULISTA,702,ITAIM BIBI,SAO PAULO,04532002,SP
EDITORA SEGMENTO LTDA,,CUNHA GAGO,412,PINHEIROS,SAO PAULO,05421001,SP
EDITORA SOL SOFT'S E LIVROS LIMITADA,EDITORA SOL,BORGES FIGUEIREDO,932,MOOCA,SAO PAULO,03110001,SP
EDMAT ENGENHARIA E INSTALACOES LTDA,,ORATORIO,761,BANGU,SANTO ANDRE,09280550,SP
EDN MOVEIS INDUSTRIA E COMERCIO LTDA,,LAZARO LUIZ BARBOSA,55,CENTRO,JACI,15155000,SP
EDP - ENERGIAS DO BRASIL S.A.,,GOMES DE CARVALHO,1996,VILA OLIMPIA,SAO PAULO,04547006,SP
EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.,EDP SAO PAULO DISTRIBUICAO DE ENERGIA,GOMES DE CARVALHO,1996,VILA OLIMPIA,SAO PAULO,04547006,SP
EDRA DO BRASIL INDUSTRIA E COMERCIO LIMITADA,EDRA DO BRASIL,"ESTADUAL SP 191, KM 87",S/N,RURAL,IPEUNA,13537000,SP
EDRA OLEO GAS E BIOENERGIA INDUSTRIA DE COMPOSITOS LTDA,EDRA OLEO E GAS LTDA,MUNICIPAL IPN 020,S/N,RURAL,IPEUNA,13537000,SP
EDRA SANEAMENTO BASICO INDUSTRIA E COMERCIO LTDA,,"MUNICIPAL IPN 020 KM 1,5",S/N,RURAL,IPEUNA,13537000,SP
EDSCHA DO BRASIL LTDA,,EDSCHA,81,IPORANGA,SOROCABA,18103006,SP
EDUARDO CASSIO FERNANDES & CIA LTDA,FERNANDES & FERNANDES,ANGATUBA,47,VILA BAETA NEVES ',SAO BERNARDO DO CAMPO,09751190,SP
EDUC EMPREENDIMENTOS EDUCACIONAIS LTDA,ESCOLA GRANJA VIANA,JOSE FELIX DE OLIVEIRA,1271,GRANJA VIANA,COTIA,06708415,SP
EDUCAR PROGRAMA DE INCLUSAO EDUCACIONAL LTDA,EDUCAR,SALGADO FILHO,252,CENTRO,GUARULHOS,07115000,SP
EDUCOMP EDUCACAO E INFORMATICA LTDA.,,FORCA PUBLICA,89,CENTRO,GUARULHOS,07012030,SP
EDVAC SERVICOS EDUCACIONAIS LTDA,,FORCA PUBLICA,89,CENTRO,GUARULHOS,07012030,SP
EDWARDS LIFESCIENCES COMERCIO DE PRODUTOS MEDICO-CIRURGICOS LTDA.,EDWARDS LIFESCIENCES,VERBO DIVINO,1547,CHACARA SANTO ANTONIO (ZONA SUL),SAO PAULO,04719002,SP
EFICIENCIA PRESTACAO DE SERVICOS ADMINISTRATIVOS EIRELI,HOSP DIAGNOSTICOS,MAESTRO JOAO GOMES DE ARAUJO,50,AGUA FRIA,SAO PAULO,02332020,SP
EFICIENTE SOLUCOES TECNOLOGICAS LTDA,EFICIENTE SOLUCOES FLORESTAIS LTDA,ALICE ALEM SAADI,814,NOVA RIBEIRANIA,RIBEIRAO PRETO,14096570,SP
"EFRARI INDUSTRIA E COMERCIO, IMPORTACAO E EXPORTACAO DE AUTOPECAS LTDA",,CHINA,217,TABOAO,SAO BERNARDO DO CAMPO,09672100,SP
EGB EDITORA GRAFICA BERNARDI LTDA,EGB,ANTONIO RODRIGUES FILHO,198,CUMBICA,GUARULHOS,07170325,SP
EGF LOCACAO DE MAQUINAS E EQUIPAMENTOS EIRELI,,ARTHUR ESPERIGONI,234,DISTRITO KALIL JORGE BITTAR,LUIS ANTONIO,14210000,SP
EGIS - ENGENHARIA E CONSULTORIA LTDA.,EGIS BRASIL,PASSADENA,89,PARQUE INDUSTRIAL SAN JOSE,COTIA,06715864,SP
EGSA EQUIPAMENTOS PARA GAS DO BRASIL LTDA,,MARIO MAZIERO,357,SANTA TEREZINHA,PAULINIA,13148121,SP
EGYPT ENGENHARIA E PARTICIPACOES LTDA,EGYPT,BENTO DE ANDRADE,458,JD PAULISTA,SAO PAULO,04503001,SP
EICON CONTROLES INTELIGENTES DE NEGOCIOS LTDA,EICON CONTROLES INTELIGENTES,BOM PASTOR,2732,IPIRANGA,SAO PAULO,04203003,SP
EIKO ENGENHARIA E INSTALACOES LTDA,,CABO JOAO TERUEL FREGONI,397,PONTE GRANDE,GUARULHOS,07032000,SP
EISENMANN DO BRASIL EQUIPAMENTOS INDUSTRIAIS LTDA,,DUQUESA DE GOIAS,716,MORUMBI,SAO PAULO,05686002,SP
EJ - ESCOLA DE AVIACAO CIVIL LTDA,EJ - ESCOLA DE AERONAUTICA,PARANA,450,DISTRITO INDUSTRIAL III,ITAPOLIS,14900000,SP
EKT MANUTENCAO DE ELEVADORES EIRELI,ELEVARTEL,LOMAS VALENTINAS,339,SAUDE,SAO PAULO,04138030,SP
ELANCO SAUDE ANIMAL LTDA,,MORUMBI,8264,SANTO AMARO,SAO PAULO,04703002,SP
ELASFIL DO BRASIL LTDA,,INDIO TIBIRICA,S/N,GUAIO,SUZANO,08630000,SP
ELASTOMAR INDUSTRIA E COMERCIO DE ARTEFATOS DE BORRACHA - EIRELI,,LAUZANE,660,SANTO AMARO,SAO PAULO,04782010,SP
ELASTOTEC INDUSTRIA E COMERCIO DE ARTEFATOS DE BORRACHA EIRELI,,PEREIRA DA FONSECA,449,EDEN,SOROCABA,18103043,SP
ELCO DO BRASIL LTDA.,,ARMANDO DE ANDRADE,549,PARQUE SANTOS DUMONT,TABOAO DA SERRA,06754210,SP
ELCRIS ESTACIONAMENTOS EIRELI,,ESTADOS UNIDOS,1760,JARDIM AMERICA,SAO PAULO,01427002,SP
ELD SERVICOS DE ALIMENTACAO LTDA,AMERICA,REBOUCAS,3970,JD PAULISTA,SAO PAULO,05402600,SP
ELDOR DO BRASIL COMPONENTES AUTOMOTIVOS INDUSTRIA E COMERCIO LTDA,,JUPITER,818,AMERICAN PARK EMPRESARIAL NR,INDAIATUBA,13347653,SP
ELDORADO BRASIL CELULOSE S/A,ELDORADO BRASIL,MARGINAL DIREITA DO TIETE,500,VILA JAGUARA,SAO PAULO,05118100,SP
ELEB EQUIPAMENTOS LTDA,EMBRAER DIVISAO EQUIPAMENTOS,ITABAIANA,40,CONJ. 31 DE MARCO,SAO JOSE DOS CAMPOS,12237540,SP
