Logradouro,Longitude,Latitude
"DOS IMIGRANTES, SAO BERNARDO DO CAMPO",-46.5556472,-23.9126486
"DOM PEDRO I, DIADEMA",,
"GRAJAU, BARUERI",-46.8470626,-23.4939942
"PADRE JOSE RUBENS BONAFE, TAUBATE",-45.5806687,-23.0131003
"SAO CAETANO, SAO CAETANO DO SUL",-46.56443781706371,-23.625097949999997
"ARMANDO LONGATTI (JARDIM SAO VICENTE), PIRACICABA",-47.6721384,-22.6891685
"GETULIO VARGAS QUADRA, BAURU",,
"YONEJI NAKAMURA, MOGI DAS CRUZES",,
"DO TABOAO, SAO BERNARDO DO CAMPO",-46.596823,-23.6570803
"SANTOS, SAO PAULO",-46.333889,-23.960833
"DESEMBARGADOR ELISEU GUILHERME, SAO PAULO",-46.6438158,-23.5731961
"DOS JORNALISTAS, SAO PAULO",-46.3437789,-23.4474867
"ANTONIO F OZANAN, JUNDIAI",-46.89181294983668,-23.16937815
"ROMEU BONAFE, SUZANO",-46.2857491,-23.5431443
"DOS PINHEIROS, SAO PAULO",-46.7019515,-23.567249
"REBOUCAS, SAO PAULO",-46.29991066790821,-23.98122755
"DA FONTE, CAPELA DO ALTO",-47.7372135,-23.4700329
"TOCANTINS, BARUERI",-46.8524139,-23.5021791
"MARECHAL DEODORO, SAO BERNARDO DO CAMPO",-46.5494434,-23.7205491
"ARMANDO SALLES DE OLIVEIRA, AMERICANA",,
"EDUARDO GOBATO, SAO CARLOS",,
"NOVE DE JULHO 5229, SAO PAULO",,
"TENENTE LYCURGO LOPES DA CRUZ, SAO PAULO",,
"BARAO DO BANANAL, RIBEIRAO PRETO",-47.7697101,-21.183739
"EXPEDICIONARIOS, SAO JOSE DO RIO PRETO",-49.36240111766,-20.814755050000002
"DOS CHANES, SAO PAULO",-48.80579,-22.6185597
"BRIG LUIS ANTONIO, SAO PAULO",,
"MINORU YOSINO, BIRIGUI",,
"GUSTAVO MACIEL, BAURU",-49.0696333,-22.3272071
"DAS NACOES UNIDAS 7221, SAO PAULO",-46.6946043,-23.6025397
"CONS NEBIAS, SAO PAULO",,
"PAULISTA, SAO PAULO",-46.6622682,-23.5552461
"CORONEL OSCAR PORTO, SAO PAULO",-46.6444285,-23.5791828
"CORONEL GALDINO DE ALMEIDA, MARILIA",-49.9522779,-22.2207176
"CONS NEBIAS, SAO PAULO",,
"M M D C, SAO PAULO",-46.7058456,-23.5732723
"JOAQUIM FERNANDES, ARACATUBA",-50.4397632,-21.2286118
"MUNICIPAL (JAR-363) CIPRIANO PEROBELLI, JARINU",,
"RUI BARBOSA, SAO PAULO",-45.435988588853505,-23.6805267
"ERNESTO ROTTA, PRESIDENTE PRUDENTE",-51.4225721,-22.0965405
"CECI, BARUERI",-46.8175469,-23.4981517
"CATEQUESE, SAO PAULO",-46.7081994,-23.568839
"PADRE ADELINO, SAO PAULO",-46.5834219,-23.5439078
"DOUTOR LUIZ DE TOLEDO PIZA SOBRINHO, BIRIGUI",,
"MARTINS FONTES, SAO PAULO",-46.6489834,-23.5684226
"DOM JOSE DE BARROS, SAO PAULO",,
"BELA CINTRA, SAO PAULO",-46.658527850000006,-23.553943099999998
"DOUTOR NELSON D'AVILA, SAO JOSE DOS CAMPOS",-45.7896754,-23.1401096
"FRANCOIS COTY, SAO PAULO",-46.6131598,-23.5669326
